cubic,westwood,bbr,scalable,bic,highspeed,htcp,hybla,illinois,vegas,yeah,reno
10.95058346,10.6211853,11.05492115,11.05551338,11.11044884,11.0704422,11.19846344,10.64362907,10.01540852,10.81644154,11.19922543,11.20746422
11.03196621,11.21713257,10.99830723,11.04564667,10.96405792,11.19360256,11.15134239,11.17039394,11.21061611,10.54128647,11.21109772,11.2181282
11.08003807,11.21870041,10.95120144,10.91330814,10.9541111,11.18596363,11.11493397,11.21552849,9.143553734,10.82300854,10.84988308,11.133605
11.08033276,11.21029949,11.09448147,11.11725426,11.06872749,10.50335217,11.19291973,11.09519958,10.99389839,10.80471611,11.0198698,11.21443939
11.08603859,11.13314629,10.90883636,10.99757195,11.07339573,11.11462975,11.20755291,10.95195293,11.21220589,10.85435867,11.17275429,11.21858978
10.96395016,11.18423271,11.0112257,10.65658092,11.08049011,11.16324806,11.14832783,11.20756149,11.17970181,10.96934032,10.8054409,11.21593571
11.06054401,11.08614063,10.9218092,11.13071537,11.04487514,11.12635136,11.18845844,11.07185078,11.15141296,10.97396946,11.1629858,11.22000027
10.95703888,11.18409729,10.85592556,10.88097477,11.00397205,10.73795986,11.11896038,11.14824677,11.20241165,10.46243763,11.12845516,11.18723488
11.21478367,11.21377754,11.01321602,11.09489918,11.12741184,11.18192482,11.20532799,11.20468521,11.19447517,10.7754364,11.16753387,11.21956635
11.15729332,11.21721649,11.00966454,11.0579958,11.10189247,11.16099072,11.09008884,11.21088696,11.1897316,10.92511749,11.09972668,11.21832085
11.0934124,11.16837406,10.84506035,10.87284565,11.06354904,11.17538452,11.16641045,11.00718689,11.20298767,11.03295898,10.83688831,11.21574974
11.15300655,11.21333218,10.31149578,10.76391697,10.89507103,11.11777401,11.14339638,11.16680527,11.19024944,10.98551083,11.12749672,11.2195282
11.20551872,11.21961784,10.23023891,10.90847206,11.14528084,11.10840702,11.2062912,11.21521187,11.20342731,10.92190933,11.17212486,11.20661259
11.21525764,11.21046066,11.0676403,10.55946541,11.01254463,11.11745358,10.80532265,11.18401814,11.21092892,10.42617607,11.07793427,11.21953678
11.21836853,11.09488106,11.12440586,10.62617016,11.11905003,11.18105698,11.04536915,10.55273724,11.21267033,10.56874466,11.19754028,11.14895916
11.21812725,11.19453144,11.12975407,10.8571701,11.21866226,11.20272446,11.07492733,11.21791649,11.10767174,10.75689888,11.14700031,11.21884918
11.07152081,11.17636776,11.12762356,10.33661842,11.17833233,11.17389202,10.30554867,11.1461792,11.19924164,9.693427086,11.18142223,11.21942711
11.094347,11.2180748,11.12033844,10.67425823,11.03440666,11.06872368,10.92567444,11.17729473,11.17709732,10.78670692,11.11267185,11.19151592
11.19633675,11.21914005,11.08374786,11.14116859,11.16310501,11.20019054,11.19651413,11.21696186,11.19477844,10.80685711,11.21680164,11.21997738
11.20081425,11.21631908,11.09925747,11.10531902,11.20955563,11.12325573,11.04226589,11.20831203,11.20561695,10.83616543,11.10645294,11.20707893
11.20809078,11.17231083,11.11130238,11.0015173,11.16357136,11.07235146,11.20855904,11.17470741,11.20152187,10.78066158,11.11282921,11.2190094
11.21404076,11.21962166,11.12427521,10.87150764,11.12526226,11.14683723,11.20771217,11.18832397,10.92975616,10.83246994,11.20739937,11.21459198
11.09934139,11.18853474,11.08953381,10.82455921,10.32483768,11.08774853,11.157341,11.1174612,10.80081081,8.891832352,11.12393188,11.21831703
11.21191883,11.21977615,11.12824059,11.06253719,10.54907703,11.08778191,11.18109798,11.15169907,11.20077419,10.88915062,11.21595097,11.14101982
11.10365009,11.21697521,11.05123234,11.12357712,10.42110634,11.09157944,11.11898041,11.12064075,11.12831497,10.8922596,11.1296854,11.15280247
11.18578911,11.21191692,11.12378025,11.14742851,10.46620464,11.18272114,10.98680496,11.21379948,9.889117241,10.94398785,11.21143436,11.22035599
10.59974861,11.18828583,11.12978649,10.67954254,10.61087704,10.73137283,11.06866741,11.2145462,9.719574928,10.86181641,11.06890297,11.21431351
11.04661179,11.21869087,11.12823296,11.01639462,10.03769112,11.14936066,11.15261745,11.20858097,9.851101875,10.85202694,11.21149349,11.21376896
10.97212029,11.11207485,11.1229744,11.0055027,10.01347446,11.20056534,11.19956875,11.18776798,10.20834351,10.88292789,11.1000185,11.17083073
11.08167744,11.21978188,11.08939934,11.07463932,10.65193367,11.19249344,9.548368454,10.92838669,11.13400936,10.8237009,11.21725559,11.21701622
11.09103012,11.21881962,11.03456306,10.87439919,10.64171219,11.19430923,7.038309097,11.2164278,11.21382618,10.51430988,11.1350565,11.19430542
11.09195232,11.1782589,11.1240387,10.69812679,11.21105862,11.19700718,5.67357254,11.1687212,11.2050209,10.78359413,11.21314049,11.21830654
11.06604671,11.2168045,11.12680817,10.93505764,10.9718008,11.14126396,11.11299515,11.11920929,11.18124104,10.70799255,11.0866642,11.21007252
10.9689188,10.98048782,11.13035679,11.18083191,11.01199818,11.08880138,11.18961334,11.20048618,11.16823387,10.99098873,11.02412128,11.20564747
10.82262135,11.21903706,11.09891224,11.03119087,10.92424774,11.1896162,11.04662323,11.18038273,11.2021389,10.78450966,11.13339615,11.21166039
11.2133379,11.21776104,11.11929798,11.0877409,10.98096752,11.21909046,11.07632828,10.83381748,11.12477493,10.71741104,11.05418587,11.21575356
11.21719551,11.21773529,11.13063431,11.08671093,11.06967545,11.19578934,11.10213089,11.2001009,11.12513447,10.93137932,11.21518326,11.21669006
11.21764469,11.21562195,11.12906647,11.11001873,11.08024883,10.90190315,10.0927,11.20636082,11.19081306,10.88795853,11.21618366,11.20958519
10.98853779,11.20403862,11.12471581,11.14056873,11.070714,11.17750549,9.939086914,11.20966911,11.17372131,10.54168701,11.21690083,11.21045876
11.05486393,11.21343899,11.08336353,11.05947113,11.2193222,11.21915817,10.23250675,11.21161079,10.90468025,10.82123661,10.99913025,10.83529282
10.6067934,11.21143436,11.12019157,10.99998569,11.18723011,10.91150379,8.939128876,11.15184975,11.20003414,10.44874001,11.20344162,11.16312981
11.214118,11.17079639,11.1216507,11.1162796,11.03845596,11.1528511,10.76433563,11.19549561,11.19577599,10.84007168,11.16200447,10.8209877
11.08207607,11.15809155,11.02881622,11.10600948,11.21728897,11.21846294,10.14516258,10.85260963,11.2071476,10.86546612,11.0505209,11.03962326
11.21789742,11.21835709,11.11952877,11.15786076,11.19231892,11.1611805,10.72422028,10.63811779,11.06815052,10.96819973,11.00291061,10.77935505
11.0428257,11.20898724,11.10350227,11.03725624,11.19481182,11.05532169,11.19279766,11.20664215,11.13140869,10.65078354,11.20830441,11.21752834
10.88269997,11.2049017,11.12552357,10.98808193,11.21509933,11.14232731,11.21635723,11.21277809,11.1408968,10.89691067,11.19194889,11.14682388
11.07980728,10.97169781,11.12990284,10.97194672,11.00930786,10.84152985,11.21257305,11.19688034,11.20768452,10.88131332,11.13962841,11.17043781
10.81960201,11.2174263,11.13143253,10.96882057,10.70539093,10.63602924,11.13399506,11.18546104,11.21362114,10.32301521,11.2141943,11.21814919
10.57245445,11.20018101,11.12951374,11.08000278,11.18309116,10.53284931,11.18168163,10.91360283,11.20346069,10.57312202,11.21417904,11.07400131
11.05236435,11.19167328,10.99234962,11.01769543,11.13363075,10.40445137,11.0330534,11.21318436,11.21680832,10.85674953,11.2114563,11.2157383
